id_season,season_name,country,championship_name,team_id,team_name,team_url,1st_best_player,2nd_best_player,3rd_best_player,4th_best_player,5th_best_player,formation_type,1st_player_name,1st_player_position,2nd_player_name,2nd_player_position,3rd_player_name,3rd_player_position,4th_player_name,4th_player_position,5th_player_name,5th_player_position,6th_player_name,6th_player_position,7th_player_name,7th_player_position,8th_player_name,8th_player_position,9th_player_name,9th_player_position,10th_player_name,10th_player_position,11th_player_name,11th_player_position
5,2024/25,Italie,Serie A,77,Lazio,https://fr.whoscored.com/teams/77/show/italie-lazio,Nicolò Rovella,Valentín Castellanos,Matteo Cancellieri,Oliver Provstgaard,Ivan Provedel,433,I. Provedel,0; 40,A. Marusic,25; 0,N. Tavares,25; 80,N. Rovella,55; 40,M. Gila,25; 25,O. Provstgaard,25; 55,M. Guendouzi,55; 10,F. D-Bashiru,55; 70,V. Castellanos,85; 40,M. Cancellieri,85; 10,M. Zaccagni,85; 70
5,2024/25,Italie,Serie A,78,Cagliari,https://fr.whoscored.com/teams/78/show/italie-cagliari,Elia Caprile,Yerry Mina,Mattia Felici,Adam Obert,Sebastiano Luperto,3511,E. Caprile,0; 40,M. Palestra,45; 0,A. Obert,45; 80,S. Luperto,20; 60,Y. Mina,20; 40,G. Zappa,20; 20,M. Adopo,45; 20,A. Deiola,45; 60,M. Folorunsho,90; 40,S. Esposito,70; 40,M. Prati,45; 40
5,2024/25,Italie,Serie A,278,Genoa,https://fr.whoscored.com/teams/278/show/italie-genoa,Patrizio Masini,Brooke Norton-Cuffy,Aarón Martín,Morten Frendrup,Leo Østigård,4231,N. Leali,0; 40,B. N-Cuffy,25; 0,A. Martín,25; 80,M. Frendrup,50; 55,L. Østigård,25; 25,J. Vásquez,25; 55,V. Carboni,70; 10,P. Masini,50; 25,L. Colombo,90; 40,N. Stanciu,70; 40,A. Grønbæk,70; 70
5,2024/25,Italie,Serie A,73,Fiorentina,https://fr.whoscored.com/teams/73/show/italie-fiorentina,Luca Ranieri,Robin Gosens,Rolando Mandragora,Dodô,David de Gea,3412,D. de Gea,0; 40,Dodô,50; 0,R. Gosens,50; 80,L. Ranieri,25; 70,M. Pongracic,25; 40,P. Comuzzo,25; 10,R. Mandragora,50; 25,S. Sohm,50; 55,A. Gudmundsson,65; 40,R. Piccoli,90; 25,M. Kean,90; 55
5,2024/25,Italie,Serie A,71,Bologna,https://fr.whoscored.com/teams/71/show/italie-bologna,Torbjørn Heggem,Riccardo Orsolini,Nikola Moro,Charalampos Lykogiannis,Lukasz Skorupski,4231,L. Skorupski,0; 40,N. Zortea,25; 0,C. Lykogiannis,25; 80,N. Moro,50; 55,N. Casale,25; 25,T. Heggem,25; 55,R. Orsolini,70; 10,R. Freuler,50; 25,S. Castro,90; 40,G. Fabbian,70; 40,N. Cambiaghi,70; 70
5,2024/25,Italie,Serie A,76,Verona,https://fr.whoscored.com/teams/76/show/italie-verona,Suat Serdar,Giovane,Unai Núñez,Martin Frese,Roberto Gagliardini,352,L. Montipò,0; 40,F. Cham,60; 0,D. Bradaric,60; 80,M. Frese,25; 70,V. Nelsson,25; 40,U. Núñez,25; 10,C. Niasse,60; 20,S. Serdar,60; 60,A. Sarr,90; 25,Giovane,90; 55,A. Bernede,60; 40
5,2024/25,Italie,Serie A,777,Pisa,https://fr.whoscored.com/teams/777/show/italie-pisa,Idrissa Touré,Adrian Semper,Simone Canestrelli,Antonio Caracciolo,Ebenezer Akinsanmiro,3421,A. Semper,0; 40,I. Touré,50; 0,S. Angori,50; 80,S. Canestrelli,25; 70,A. Caracciolo,25; 40,D. Denoon,25; 10,E. Akinsanmiro,50; 25,M. Aebischer,50; 55,H. Meister,90; 40,S. Moreo,75; 25,M. Tramoni,75; 55
5,2024/25,Italie,Serie A,2889,Sassuolo,https://fr.whoscored.com/teams/2889/show/italie-sassuolo,Tarik Muharemovic,Woyo Coulibaly,Arijanet Muric,Domenico Berardi,Andrea Pinamonti,433,A. Muric,0; 40,S. Walukiewicz,25; 0,J. Doig,25; 80,N. Matic,55; 40,J. Idzes,25; 25,T. Muharemovic,25; 55,A. Vranckx,55; 10,D. Boloca,55; 70,A. Pinamonti,85; 40,D. Berardi,85; 10,A. Laurienté,85; 70
5,2024/25,Italie,Serie A,72,Torino,https://fr.whoscored.com/teams/72/show/italie-torino,Guillermo Maripán,Franco Israel,Ardian Ismajli,Kristjan Asllani,Cesare Casadei,433,F. Israel,0; 40,M. Pedersen,25; 0,C. Biraghi,25; 80,K. Asllani,55; 40,S. Coco,25; 25,G. Maripán,25; 55,C. Casadei,55; 10,I. Ilic,55; 70,G. Simeone,85; 40,C. Ngonge,85; 10,N. Vlasic,85; 70
5,2024/25,Italie,Serie A,24341,Parma Calcio 1913,https://fr.whoscored.com/teams/24341/show/italie-parma-calcio-1913,Adrián Bernabé,Abdoulaye Ndiaye,Alessandro Circati,Patrick Cutrone,Gaetano Oristanio,3421,Z. Suzuki,0; 40,M. Løvik,50; 0,E. Valeri,50; 80,L. Valenti,25; 70,A. Circati,25; 40,E. Delprato,25; 10,A. Bernabé,50; 25,M. Keita,50; 55,M. Pellegrino,90; 40,P. Almqvist,75; 25,O. Sørensen,75; 55
5,2024/25,Italie,Serie A,79,Lecce,https://fr.whoscored.com/teams/79/show/italie-lecce,Tiago Gabriel,Wladimiro Falcone,Kialonda Gaspar,Owen Kouassi,Medon Berisha,433,W. Falcone,0; 40,D. Veiga,25; 0,A. Gallo,25; 80,Y. Ramadani,55; 40,K. Gaspar,25; 25,T. Gabriel,25; 55,L. Coulibaly,55; 10,M. Berisha,55; 70,F. Camarda,85; 40,L. Banda,85; 10,T. Morente,85; 70
