Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,CrdY_per90,CrdR_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,Cmp_per90,1/3_per90,PPA_per90,CrsPA_per90,Sw_per90,Crs_per90,Tkl_per90,Int_per90,Clr_per90,Blocks_stats_defense_per90,Err_per90,Fld_per90,Touches_per90,Succ_per90,Carries_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,Recov_per90,GA_per90,SoTA_per90,Saves_per90,PKm_per90,PKsv_per90,Thr_per90,Stp_per90,Won_per90,#OPA_per90,PSxG_per90,G-xG_per90,team_code,passing__avg_poss,Tkl_per90_Padj,Int_per90_Padj,Clr_per90_Padj,Blocks_stats_defense_per90_Padj,Born_year,Player_clean
280,Jeremie Boga,ci CIV,"FW,MF",Nice,fr Ligue 1,29.0,1997.0,14,7,646,7.2,2,2,4,2,0,0,0,0,1.6,1.6,1.0,2.7,25,19,33,0.56,0.37,280,ci CIV,"FW,MF",fr Ligue 1,29-009,1997.0,7.2,2,15,5,33.3,2.09,0.7,0.13,0.4,18.6,1,0,0,1.6,1.6,0.11,0.4,0.4,280,ci CIV,"FW,MF",fr Ligue 1,29-009,1997.0,7.2,169,211,80.1,2471,455,2,1.0,0.6,1.0,13,14,5,0,19,280,ci CIV,"FW,MF",fr Ligue 1,29-009,1997.0,7.2,211,193,18,4,1,2,12,1,9,1,5,0,169,0,9,280,ci CIV,"FW,MF",fr Ligue 1,29-009,1997.0,7.2,28,3.91,19,3,4,2,0,0,2,0.28,280,ci CIV,"FW,MF",fr Ligue 1,29-009,1997.0,7.2,4,4,0,3,1,4,75.0,1,2,0,2,3,7,2,1,280,ci CIV,"FW,MF",fr Ligue 1,29-009,1997.0,7.2,265,2,37,101,134,19,265,29,13,44.8,13,44.8,175,1565,813,25,27,4,9,5,194,33,354,ci CIV,"FW,MF",fr Ligue 1,29-009,1997.0,14,646,46,42.2,7.2,7,74.0,1,7,18.0,0,1.21,11,14,-3,-0.42,0.29,7.5,15.4,-8.0,-1.11,280,ci CIV,"FW,MF",fr Ligue 1,29-009,1997.0,7.2,0,0,0,2,12,0,12,3,4,0,0,0,22,0,3,0.0,,,,,,,,,,,,,,,69.57,,,,,27.02,,,,,,,,,,,,,,,,,,,,,,,,,,29.09,,,,6.37,,,,0.28,0.28,0.56,0.28,0.0,0.0,0.0,0.22,0.14,3.48,2.65,4.6,2.09,0.7,23.54,1.95,0.7,0.0,0.28,1.67,0.56,0.42,0.28,0.28,0.14,0.0,36.92,1.81,24.38,1.25,0.7,0.28,0.0,0.0,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,Nice,46.6,0.52,0.39,0.26,0.26,1997,jeremie boga
284,Morgan Bokelé Mputu,cm CMR,"FW,DF",Metz,fr Ligue 1,21.0,2004.0,9,1,226,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,12,11,13,0.0,0.17,284,cm CMR,"FW,DF",fr Ligue 1,21-305,2004.0,2.5,0,3,1,33.3,1.19,0.4,0.0,0.0,16.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,284,cm CMR,"FW,DF",fr Ligue 1,21-305,2004.0,2.5,84,108,77.8,1283,346,0,0.1,0.2,-0.1,2,4,3,2,11,284,cm CMR,"FW,DF",fr Ligue 1,21-305,2004.0,2.5,108,104,3,1,0,1,6,2,0,0,0,0,84,1,0,284,cm CMR,"FW,DF",fr Ligue 1,21-305,2004.0,2.5,4,1.59,2,0,0,0,2,0,0,0.0,284,cm CMR,"FW,DF",fr Ligue 1,21-305,2004.0,2.5,5,4,3,2,0,5,40.0,3,3,1,2,1,6,2,0,284,cm CMR,"FW,DF",fr Ligue 1,21-305,2004.0,2.5,137,3,27,62,50,8,137,10,3,30.0,5,50.0,90,728,308,12,10,4,6,5,115,13,359,cm CMR,"FW,DF",fr Ligue 1,21-305,2004.0,9,226,25,14.8,2.5,1,80.0,0,8,18.0,7,0.56,4,7,-3,-1.19,-0.02,2.5,6.1,-3.6,-1.42,284,cm CMR,"FW,DF",fr Ligue 1,21-305,2004.0,2.5,0,0,0,2,8,0,6,1,4,0,0,0,10,0,2,0.0,,,,,,,,,,,,,,,69.57,,,,,27.02,,,,,,,,,,,,,,,,,,,,,,,,,,29.09,,,,6.37,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,4.78,4.38,5.18,1.19,0.4,33.45,1.59,1.19,0.8,0.4,2.39,1.99,0.4,0.8,1.19,0.0,0.8,54.56,1.19,35.84,2.39,1.99,0.8,0.0,0.0,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,FC Metz,,0.0,0.0,0.0,0.0,2004,morgan bokele mputu
289,Giovanni Bonfanti,it ITA,DF,Pisa,it Serie A,22.0,2003.0,9,6,494,5.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,5,9,12,0.0,0.09,289,it ITA,DF,it Serie A,22-360,2003.0,5.5,0,6,1,16.7,1.09,0.18,0.0,0.0,13.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,289,it ITA,DF,it Serie A,22-360,2003.0,5.5,114,193,59.1,2175,1086,0,0.1,0.1,-0.1,3,8,5,2,9,289,it ITA,DF,it Serie A,22-360,2003.0,5.5,193,137,56,5,0,1,12,41,0,0,0,0,114,0,7,289,it ITA,DF,it Serie A,22-360,2003.0,5.5,5,0.91,4,1,0,0,0,0,0,0.0,289,it ITA,DF,it Serie A,22-360,2003.0,5.5,13,6,5,6,2,4,50.0,2,3,2,1,7,20,26,0,289,it ITA,DF,it Serie A,22-360,2003.0,5.5,268,33,113,100,58,9,268,12,5,41.7,7,58.3,116,532,235,5,4,0,5,5,113,12,367,it ITA,DF,it Serie A,22-360,2003.0,9,494,55,27.4,5.5,6,66.0,1,3,32.0,9,0.56,3,11,-8,-1.46,-0.98,5.2,7.2,-2.0,-0.36,289,it ITA,DF,it Serie A,22-360,2003.0,5.5,1,0,0,10,3,0,12,7,6,0,0,0,19,9,8,52.9,,,,,,,,,,,,,,,73.11,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,36.42,,,,6.16,,,,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.07,0.02,0.91,1.64,2.19,1.09,0.18,20.77,1.46,0.91,0.36,0.18,2.19,2.37,1.28,4.74,0.55,0.0,0.0,48.83,0.91,21.13,0.91,0.91,1.82,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,-0.07,Pisa,40.1,1.98,1.07,3.96,0.46,2003,giovanni bonfanti
311,Iker Bravo,es ESP,"FW,MF",Udinese,it Serie A,20.0,2005.0,8,3,206,2.3,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,5,9,11,0.44,0.19,311,es ESP,"FW,MF",it Serie A,20-364,2005.0,2.3,1,4,1,25.0,1.75,0.44,0.25,1.0,21.0,0,0,0,0.2,0.2,0.05,0.8,0.8,311,es ESP,"FW,MF",it Serie A,20-364,2005.0,2.3,36,48,75.0,625,193,0,0.2,0.2,-0.2,3,1,4,0,9,311,es ESP,"FW,MF",it Serie A,20-364,2005.0,2.3,48,39,9,3,0,0,4,0,2,2,0,0,36,0,4,311,es ESP,"FW,MF",it Serie A,20-364,2005.0,2.3,6,2.62,4,0,0,2,0,0,0,0.0,311,es ESP,"FW,MF",it Serie A,20-364,2005.0,2.3,1,1,1,0,0,3,33.3,2,1,0,1,0,1,0,0,311,es ESP,"FW,MF",it Serie A,20-364,2005.0,2.3,69,2,11,22,36,4,69,2,1,50.0,1,50.0,37,229,150,5,4,0,7,6,39,11,395,es ESP,"FW,MF",it Serie A,20-364,2005.0,8,206,26,11.4,2.3,3,55.0,0,5,8.0,7,1.38,2,1,1,0.44,1.06,2.4,2.0,0.4,0.18,311,es ESP,"FW,MF",it Serie A,20-364,2005.0,2.3,1,0,0,3,1,0,4,0,1,0,0,0,10,1,5,16.7,,,,,,,,,,,,,,,73.11,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,36.42,,,,6.16,,,,0.44,0.0,0.44,0.44,0.0,0.44,0.0,0.09,0.09,2.18,3.93,4.81,1.75,0.44,15.73,0.44,1.75,0.0,0.0,1.75,0.44,0.0,0.0,0.44,0.0,0.0,30.15,0.44,16.17,3.06,2.62,1.31,0.0,0.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.35,Udinese,45.3,0.4,0.0,0.0,0.4,2005,iker bravo
312,Josip Brekalo,hr CRO,FW,Oviedo,es La Liga,27.0,1998.0,13,6,477,5.3,0,0,0,0,0,0,1,0,0.3,0.3,1.7,1.9,18,30,39,0.0,0.36,312,hr CRO,FW,es La Liga,27-203,1998.0,5.3,0,8,2,25.0,1.51,0.38,0.0,0.0,23.0,0,0,0,0.3,0.3,0.03,-0.3,-0.3,312,hr CRO,FW,es La Liga,27-203,1998.0,5.3,161,238,67.6,3070,869,0,1.7,1.1,-1.7,11,16,6,3,30,312,hr CRO,FW,es La Liga,27-203,1998.0,5.3,238,212,25,11,2,6,26,3,11,3,4,0,161,1,8,312,hr CRO,FW,es La Liga,27-203,1998.0,5.3,19,3.58,15,1,1,2,0,0,0,0.0,312,hr CRO,FW,es La Liga,27-203,1998.0,5.3,12,7,3,8,1,13,53.8,6,8,0,8,3,15,1,0,312,hr CRO,FW,es La Liga,27-203,1998.0,5.3,295,2,33,143,123,19,295,13,4,30.8,7,53.8,172,1081,511,18,10,5,10,3,199,39,397,hr CRO,FW,es La Liga,27-203,1998.0,13,477,37,27.9,5.3,6,58.0,0,7,19.0,3,0.77,1,14,-13,-2.45,-2.01,5.2,8.8,-3.7,-0.7,312,hr CRO,FW,es La Liga,27-203,1998.0,5.3,1,0,0,6,6,0,26,3,7,0,1,0,25,0,5,0.0,,,,,,,,,,,,,,,69.16,,,,,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,36.25,,,,5.5,,,,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.06,0.32,3.4,5.66,7.36,1.51,0.38,30.38,3.02,1.13,0.57,1.13,4.91,2.26,0.57,0.19,1.51,0.0,0.0,55.66,0.75,32.45,1.89,0.57,1.13,0.0,0.19,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,Real Oviedo,,0.0,0.0,0.0,0.0,1998,josip brekalo
315,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,25.0,2000.0,9,0,182,2.0,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,7,11,12,0.49,0.13,315,it ITA,MF,it Serie A,25-357,2000.0,2.0,1,3,2,66.7,1.48,0.99,0.33,0.5,20.9,0,0,0,0.2,0.2,0.05,0.8,0.8,315,it ITA,MF,it Serie A,25-357,2000.0,2.0,78,94,83.0,1272,340,0,0.1,0.1,-0.1,2,14,0,0,11,315,it ITA,MF,it Serie A,25-357,2000.0,2.0,94,90,4,1,0,0,6,0,3,0,3,0,78,0,0,315,it ITA,MF,it Serie A,25-357,2000.0,2.0,7,3.46,5,1,0,1,0,0,0,0.0,315,it ITA,MF,it Serie A,25-357,2000.0,2.0,8,7,3,4,1,5,60.0,2,3,1,2,2,10,5,0,315,it ITA,MF,it Serie A,25-357,2000.0,2.0,127,7,23,71,34,6,127,3,1,33.3,2,66.7,78,568,271,7,2,1,8,3,88,12,400,it ITA,MF,it Serie A,25-357,2000.0,9,182,20,10.1,2.0,0,,0,9,20.0,10,1.56,5,1,4,1.98,1.87,3.3,1.5,1.8,0.9,315,it ITA,MF,it Serie A,25-357,2000.0,2.0,1,0,0,4,2,0,6,2,7,0,0,0,13,0,1,0.0,,,,,,,,,,,,,,,73.11,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,36.42,,,,6.16,,,,0.49,0.0,0.49,0.49,0.0,0.49,0.0,0.1,0.05,3.46,5.44,5.93,1.48,0.99,38.57,6.92,0.0,0.0,0.0,2.97,3.96,0.99,2.47,1.48,0.0,0.0,62.8,0.49,38.57,3.96,1.48,1.98,0.0,0.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,Atalanta,55.0,4.4,1.1,2.74,1.64,2000,marco brescianini
392,Valentin Carboni,ar ARG,"MF,FW",Genoa,it Serie A,20.0,2005.0,12,3,359,4.0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.7,7,17,25,0.0,0.17,392,ar ARG,"MF,FW",it Serie A,20-313,2005.0,4.0,0,6,2,33.3,1.5,0.5,0.0,0.0,17.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,392,ar ARG,"MF,FW",it Serie A,20-313,2005.0,4.0,111,146,76.0,1644,481,0,0.2,0.3,-0.2,4,6,8,0,17,392,ar ARG,"MF,FW",it Serie A,20-313,2005.0,4.0,146,136,6,0,0,1,8,3,0,0,0,0,111,4,3,392,ar ARG,"MF,FW",it Serie A,20-313,2005.0,4.0,15,3.76,12,0,2,0,1,0,1,0.25,392,ar ARG,"MF,FW",it Serie A,20-313,2005.0,4.0,14,8,8,4,2,9,55.6,4,8,0,8,2,16,6,0,392,ar ARG,"MF,FW",it Serie A,20-313,2005.0,4.0,221,5,32,110,85,9,221,21,10,47.6,9,42.9,122,665,269,7,6,2,18,9,133,25,489,ar ARG,"MF,FW",it Serie A,20-313,2005.0,12,359,30,21.0,4.0,3,66.0,0,9,18.0,6,0.67,2,4,-2,-0.5,0.03,4.9,4.0,0.9,0.22,392,ar ARG,"MF,FW",it Serie A,20-313,2005.0,4.0,2,0,0,11,5,0,8,2,8,0,1,0,25,3,5,37.5,,,,,,,,,,,,,,,73.11,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,36.42,,,,6.16,,,,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.05,1.75,4.26,6.27,1.5,0.5,27.83,1.5,2.01,0.0,0.25,2.01,3.51,0.5,1.5,2.01,0.0,0.25,55.4,2.51,30.58,4.51,2.26,2.76,0.0,0.25,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-0.1,Genoa,48.1,3.38,0.48,1.45,1.94,2005,valentin carboni
414,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,25.0,2000.0,16,15,1348,15.0,0,0,0,0,0,1,3,0,1.2,0.4,1.2,1.7,12,80,20,0.0,0.16,414,ve VEN,MF,fr Ligue 1,25-357,2000.0,15.0,0,9,1,11.1,0.6,0.07,0.0,0.0,26.4,2,0,1,1.2,0.4,0.05,-1.2,-0.4,414,ve VEN,MF,fr Ligue 1,25-357,2000.0,15.0,543,693,78.4,10035,3525,0,1.2,1.8,-1.2,17,74,10,4,80,414,ve VEN,MF,fr Ligue 1,25-357,2000.0,15.0,693,588,101,49,3,3,54,8,26,17,7,0,543,4,15,414,ve VEN,MF,fr Ligue 1,25-357,2000.0,15.0,36,2.4,22,10,0,0,3,1,3,0.2,414,ve VEN,MF,fr Ligue 1,25-357,2000.0,15.0,41,23,20,19,2,37,59.5,15,11,5,6,16,57,17,1,414,ve VEN,MF,fr Ligue 1,25-357,2000.0,15.0,837,26,189,494,169,9,836,23,12,52.2,10,43.5,425,2202,1119,12,12,1,16,11,442,20,519,ve VEN,MF,fr Ligue 1,25-357,2000.0,16,1348,84,88.1,15.0,15,88.0,12,1,29.0,0,1.25,19,20,-1,-0.07,-1.55,21.0,19.3,1.7,0.11,414,ve VEN,MF,fr Ligue 1,25-357,2000.0,15.0,3,0,0,19,27,1,54,16,23,1,1,0,106,8,8,50.0,,,,,,,,,,,,,,,69.57,,,,,27.02,,,,,,,,,,,,,,,,,,,,,,,,,,29.09,,,,6.37,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03,0.08,0.8,5.34,1.34,0.6,0.07,36.25,4.94,0.67,0.27,0.2,3.61,2.74,1.07,1.14,0.73,0.07,0.2,55.88,0.8,28.38,1.07,0.73,1.27,0.07,0.07,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,-0.08,Toulouse,41.9,2.36,0.92,0.98,0.63,2000,cristian casseres jr
417,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,27.0,1998.0,11,8,692,7.7,2,3,5,2,0,0,2,0,2.0,2.0,1.7,3.7,6,17,45,0.65,0.48,417,ar ARG,FW,it Serie A,27-101,1998.0,7.7,2,20,8,40.0,2.6,1.04,0.1,0.25,17.3,0,0,0,2.0,2.0,0.1,0.0,0.0,417,ar ARG,FW,it Serie A,27-101,1998.0,7.7,92,143,64.3,1440,364,3,1.7,0.8,1.3,8,9,6,0,17,417,ar ARG,FW,it Serie A,27-101,1998.0,7.7,143,129,12,0,4,0,6,0,0,0,0,0,92,2,5,417,ar ARG,FW,it Serie A,27-101,1998.0,7.7,20,2.6,10,0,3,3,4,0,5,0.65,417,ar ARG,FW,it Serie A,27-101,1998.0,7.7,7,3,0,6,1,7,57.1,3,1,0,1,3,10,7,0,417,ar ARG,FW,it Serie A,27-101,1998.0,7.7,221,7,20,105,100,31,221,18,8,44.4,9,50.0,123,513,191,6,4,3,20,8,169,45,524,ar ARG,FW,it Serie A,27-101,1998.0,11,692,63,38.4,7.7,8,77.0,3,3,25.0,0,1.18,11,7,4,0.52,0.44,8.8,9.4,-0.6,-0.08,417,ar ARG,FW,it Serie A,27-101,1998.0,7.7,2,0,0,9,18,5,6,3,3,0,0,0,14,14,13,51.9,,,,,,,,,,,,,,,73.11,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,36.42,,,,6.16,,,,0.26,0.39,0.65,0.26,0.0,0.26,0.0,0.26,0.22,0.78,2.21,5.85,2.6,1.04,11.97,1.17,0.78,0.0,0.0,0.78,0.91,0.39,0.91,0.13,0.0,0.52,28.74,1.04,16.0,2.6,1.04,1.17,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,Lazio,50.5,0.92,0.39,0.92,0.13,1998,valentin castellanos
442,Walid Cheddira,ma MAR,FW,Sassuolo,it Serie A,27.0,1998.0,15,1,219,2.4,1,0,1,1,0,0,1,0,0.9,0.9,0.1,1.0,7,4,15,0.41,0.41,442,ma MAR,FW,it Serie A,27-355,1998.0,2.4,1,8,2,25.0,3.29,0.82,0.13,0.5,16.1,0,0,0,0.9,0.9,0.11,0.1,0.1,442,ma MAR,FW,it Serie A,27-355,1998.0,2.4,41,63,65.1,572,166,0,0.1,0.3,-0.1,3,4,1,0,4,442,ma MAR,FW,it Serie A,27-355,1998.0,2.4,63,60,3,1,0,0,3,0,0,0,0,0,41,0,6,442,ma MAR,FW,it Serie A,27-355,1998.0,2.4,7,2.88,6,0,0,1,0,0,2,0.82,442,ma MAR,FW,it Serie A,27-355,1998.0,2.4,1,0,0,1,0,0,51.9,0,5,1,4,0,1,1,0,442,ma MAR,FW,it Serie A,27-355,1998.0,2.4,106,1,13,46,50,16,106,8,5,62.5,3,37.5,71,489,251,7,3,5,11,10,78,15,562,ma MAR,FW,it Serie A,27-355,1998.0,15,219,15,12.2,2.4,1,62.0,0,14,11.0,3,1.47,2,4,-2,-0.82,-0.71,1.7,4.0,-2.3,-0.94,442,ma MAR,FW,it Serie A,27-355,1998.0,2.4,1,0,0,7,9,1,3,0,0,0,0,0,12,6,9,40.0,,,,,,,,,,,,,,,73.11,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,36.42,,,,6.16,,,,0.41,0.0,0.41,0.41,0.0,0.41,0.0,0.37,0.04,2.88,1.64,6.16,3.29,0.82,16.85,1.64,0.41,0.0,0.0,1.23,0.41,0.0,0.41,2.05,0.0,0.0,43.56,2.05,29.18,4.52,4.11,2.88,0.0,0.0,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.04,Sassuolo,44.6,0.37,0.0,0.37,1.85,1998,walid cheddira
445,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,19.0,2006.0,17,13,1069,11.9,4,0,4,4,0,0,3,0,3.0,3.0,0.4,3.4,32,18,66,0.34,0.29,445,fr FRA,FW,fr Ligue 1,19-028,2006.0,11.9,4,28,12,42.9,2.36,1.01,0.14,0.33,15.4,0,0,0,3.0,3.0,0.11,1.0,1.0,445,fr FRA,FW,fr Ligue 1,19-028,2006.0,11.9,154,213,72.3,1984,336,0,0.4,0.4,-0.4,5,8,1,0,18,445,fr FRA,FW,fr Ligue 1,19-028,2006.0,11.9,213,204,8,1,1,1,6,0,0,0,0,0,154,1,12,445,fr FRA,FW,fr Ligue 1,19-028,2006.0,11.9,19,1.6,12,0,3,2,1,1,0,0.0,445,fr FRA,FW,fr Ligue 1,19-028,2006.0,11.9,7,2,2,5,0,7,42.9,4,10,0,10,6,13,2,0,445,fr FRA,FW,fr Ligue 1,19-028,2006.0,11.9,359,4,35,203,128,42,359,34,11,32.4,22,64.7,230,1661,770,32,19,11,39,18,264,66,566,fr FRA,FW,fr Ligue 1,19-028,2006.0,17,1069,63,69.9,11.9,13,71.0,2,4,38.0,0,1.29,12,15,-3,-0.25,-0.45,11.3,17.3,-5.9,-0.5,445,fr FRA,FW,fr Ligue 1,19-028,2006.0,11.9,3,0,0,14,16,11,6,6,2,0,0,0,39,16,30,34.8,,,,,,,,,,,,,,,69.57,,,,,27.02,,,,,,,,,,,,,,,,,,,,,,,,,,29.09,,,,6.37,,,,0.34,0.0,0.34,0.34,0.0,0.25,0.0,0.25,0.03,2.69,1.52,5.56,2.36,1.01,12.97,0.67,0.08,0.0,0.08,0.51,0.59,0.51,0.17,0.84,0.0,0.08,30.22,0.93,19.36,3.28,1.52,1.18,0.0,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.08,Angers SCO,,0.0,0.0,0.0,0.0,2006,sidiki cherif
