,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
39, Hellas Verona,it Serie A,25,26.6,38.4,11,121,990,11,6,4,10,5,1,1,28,0,12.5,11.7,8.9,20.6,127,294,0.55,0.36,0.91,0.45,0.82,1.14,0.81,1.94,1.06,1.87
40, Hoffenheim,de Bundesliga,21,26.8,52.1,10,110,900,10,21,17,38,19,2,2,21,0,16.4,14.8,13.2,28,150,380,2.1,1.7,3.8,1.9,3.6,1.64,1.32,2.96,1.48,2.8
41, Inter,it Serie A,24,29.3,60.1,11,121,990,11,24,21,45,22,2,2,17,0,20.5,19,16.7,35.7,203,563,2.18,1.91,4.09,2,3.91,1.87,1.52,3.38,1.73,3.24
42, Juventus,it Serie A,23,26.2,58.5,11,121,990,11,14,9,23,12,2,2,16,1,15.5,13.9,10.4,24.4,262,477,1.27,0.82,2.09,1.09,1.91,1.41,0.95,2.36,1.27,2.22
43, Köln,de Bundesliga,22,26,46.8,10,110,900,10,17,11,28,16,1,1,19,0,15.9,15.1,11.6,26.7,134,303,1.7,1.1,2.8,1.6,2.7,1.59,1.16,2.75,1.51,2.67
44, Lazio,it Serie A,24,28.8,48.8,11,121,990,11,13,10,23,12,1,1,16,2,11.4,10.6,9.1,19.7,145,342,1.18,0.91,2.09,1.09,2,1.04,0.83,1.86,0.96,1.79
45, Le Havre,fr Ligue 1,23,27.9,47.3,12,132,"1,080",12,13,9,22,12,1,2,23,1,14.8,13.2,11.1,24.3,189,409,1.08,0.75,1.83,1,1.75,1.23,0.93,2.16,1.1,2.03
46, Lecce,it Serie A,23,25.9,45.7,11,121,990,11,8,5,13,8,0,1,20,0,8.3,7.5,5,12.5,137,341,0.73,0.45,1.18,0.73,1.18,0.75,0.45,1.2,0.68,1.13
47, Leeds United,eng Premier League,22,27,48.2,11,121,990,11,10,4,14,9,1,1,16,0,12.7,12,8.8,20.8,167,337,0.91,0.36,1.27,0.82,1.18,1.16,0.8,1.95,1.09,1.89
48, Lens,fr Ligue 1,22,27.7,45.8,12,132,"1,080",12,20,13,33,17,3,4,27,2,22.7,19.6,15.8,35.3,173,447,1.67,1.08,2.75,1.42,2.5,1.9,1.31,3.21,1.63,2.94
49, Levante,es La Liga,25,27.2,39.3,12,132,"1,080",12,16,8,24,15,1,2,24,1,16.7,15.4,10.2,25.6,119,313,1.33,0.67,2,1.25,1.92,1.39,0.85,2.24,1.28,2.13
50, Leverkusen,de Bundesliga,25,26.5,57.9,10,110,900,10,24,14,38,21,3,3,25,2,18.8,16.5,10.8,27.3,182,364,2.4,1.4,3.8,2.1,3.5,1.88,1.08,2.96,1.65,2.73
51, Lille,fr Ligue 1,28,27,57.4,12,132,"1,080",12,23,18,41,22,1,2,29,1,22.5,21,17.2,38.2,271,620,1.92,1.5,3.42,1.83,3.33,1.88,1.43,3.31,1.75,3.19
52, Liverpool,eng Premier League,22,27,60.5,11,121,990,11,18,12,30,17,1,1,23,0,17.7,17,14,30.9,266,545,1.64,1.09,2.73,1.55,2.64,1.61,1.27,2.88,1.54,2.81
53, Lorient,fr Ligue 1,22,25.6,44.3,12,132,"1,080",12,14,10,24,13,1,4,28,1,15.7,12.5,10.5,23.1,238,416,1.17,0.83,2,1.08,1.92,1.31,0.88,2.19,1.04,1.92
54, Lyon,fr Ligue 1,23,26.8,52.7,12,132,"1,080",12,17,13,30,17,0,2,24,4,18.7,17.2,12.9,30.1,183,400,1.42,1.08,2.5,1.42,2.5,1.56,1.07,2.63,1.43,2.51
55, Mainz 05,de Bundesliga,23,28.6,49.7,10,110,900,10,10,4,14,7,3,3,26,3,12.5,10.2,7.8,18.1,120,423,1,0.4,1.4,0.7,1.1,1.25,0.78,2.04,1.02,1.81
56, Mallorca,es La Liga,25,28.3,45,12,132,"1,080",12,12,9,21,11,1,1,25,3,11.4,10.6,7.9,18.5,145,394,1,0.75,1.75,0.92,1.67,0.95,0.66,1.61,0.89,1.55
57, Manchester City,eng Premier League,23,25.6,56.5,11,121,990,11,21,19,40,21,0,1,18,0,19.3,18.5,16.3,34.9,294,430,1.91,1.73,3.64,1.91,3.64,1.76,1.48,3.24,1.68,3.17
58, Manchester Utd,eng Premier League,20,26.5,50.5,11,121,990,11,17,13,30,16,1,3,14,1,18.2,15.9,12.2,28,190,415,1.55,1.18,2.73,1.45,2.64,1.66,1.11,2.76,1.44,2.55
59, Marseille,fr Ligue 1,29,27.9,59.6,12,132,"1,080",12,27,18,45,23,4,5,27,2,22.9,19.5,16.1,35.6,208,580,2.25,1.5,3.75,1.92,3.42,1.91,1.34,3.25,1.62,2.97
60, Metz,fr Ligue 1,26,26.5,48.3,12,132,"1,080",12,12,8,20,9,3,4,18,3,14.7,11.5,10,21.5,190,310,1,0.67,1.67,0.75,1.42,1.22,0.83,2.06,0.96,1.79
61, Milan,it Serie A,24,27.7,51.5,11,121,990,11,17,12,29,15,2,3,16,1,17.8,15.5,11.9,27.4,200,423,1.55,1.09,2.64,1.36,2.45,1.62,1.08,2.7,1.41,2.49
62, Monaco,fr Ligue 1,27,25.8,55.3,12,132,"1,080",12,22,16,38,18,4,5,31,2,26.2,22.2,16.8,39.1,205,518,1.83,1.33,3.17,1.5,2.83,2.19,1.4,3.59,1.85,3.26
