,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,
Rk,Squad,Comp,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP
84, Stuttgart,de Bundesliga,24,14,6708,8105,82.8,112390,39349,3195,3548,90.1,2883,3292,87.6,471,879,53.6,21,15.7,20.4,5.3,175,558,134,42,629
85, Sunderland,eng Premier League,25,16,4944,6515,75.9,89747,32406,2110,2408,87.6,2189,2579,84.9,512,1144,44.8,12,8.3,7.8,3.7,104,407,93,24,466
86, Torino,it Serie A,25,15,4590,5962,77,88491,34028,1785,2060,86.7,2135,2511,85,589,1112,53,8,9.7,11.2,-1.7,127,414,114,45,473
87, Tottenham,eng Premier League,21,16,6069,7623,79.6,109794,36915,2518,2813,89.5,2913,3306,88.1,536,1152,46.5,20,11.5,10.9,8.5,108,479,106,41,557
88, Toulouse,fr Ligue 1,22,16,4751,6112,77.7,87158,34021,1981,2295,86.3,2200,2602,84.6,481,934,51.5,13,12.8,14.2,0.2,144,400,115,28,537
89, Udinese,it Serie A,26,15,4735,6049,78.3,90020,32741,1829,2108,86.8,2193,2523,86.9,593,1087,54.6,11,10.2,9.3,0.8,142,378,96,23,431
90, Union Berlin,de Bundesliga,21,14,3394,4911,69.1,63934,26729,1454,1724,84.3,1376,1770,77.7,462,1078,42.9,12,10.6,11.2,1.4,123,275,81,31,357
91, Valencia,es La Liga,21,16,5806,7297,79.6,103776,36133,2504,2844,88,2619,3029,86.5,562,1067,52.7,13,12,12.1,1,107,453,85,20,572
92, Villarreal,es La Liga,26,15,5899,7134,82.7,102538,35163,2728,2993,91.1,2566,2923,87.8,506,914,55.4,21,18.7,18.8,2.3,154,461,124,29,591
93, Werder Bremen,de Bundesliga,23,14,5638,7005,80.5,103966,35587,2208,2515,87.8,2694,3071,87.7,584,1050,55.6,13,12.4,13.8,0.6,126,405,115,32,526
94, West Ham,eng Premier League,27,16,5060,6547,77.3,87088,31589,2419,2706,89.4,1998,2335,85.6,482,1097,43.9,10,9.9,8.7,0.1,119,380,88,24,468
95, Wolfsburg,de Bundesliga,26,14,4840,6178,78.3,88834,31774,1959,2227,88,2244,2581,86.9,519,1024,50.7,17,14.9,14.5,2.1,132,328,73,25,392
96, Wolves,eng Premier League,25,16,5405,6961,77.6,102242,36590,2203,2568,85.8,2489,2888,86.2,607,1207,50.3,6,9,9.7,-3,99,447,121,59,453
