,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
49, Levante,es La Liga,25,27.2,40.6,14,154,"1,260",14,16,8,24,15,1,2,30,1,18.7,17.3,11.8,29.1,138,353,1.14,0.57,1.71,1.07,1.64,1.33,0.84,2.17,1.24,2.08
50, Leverkusen,de Bundesliga,25,26.7,59.3,13,143,"1,170",13,28,18,46,25,3,3,32,2,22.2,19.9,13.8,33.7,246,504,2.15,1.38,3.54,1.92,3.31,1.71,1.06,2.77,1.53,2.59
51, Lille,fr Ligue 1,28,27.3,56,15,165,"1,350",15,29,21,50,26,3,4,34,2,28.3,25.3,20.5,45.7,322,739,1.93,1.4,3.33,1.73,3.13,1.89,1.36,3.25,1.68,3.05
52, Liverpool,eng Premier League,22,27.1,61.1,15,165,"1,350",15,23,15,38,22,1,1,29,0,24.1,23.4,18.6,42,347,786,1.53,1,2.53,1.47,2.47,1.61,1.24,2.85,1.56,2.8
53, Lorient,fr Ligue 1,23,25.6,43.9,15,165,"1,350",15,18,12,30,17,1,4,32,1,20.9,17.7,14.2,31.8,297,504,1.2,0.8,2,1.13,1.93,1.39,0.94,2.34,1.18,2.12
54, Lyon,fr Ligue 1,25,26.9,55.4,15,165,"1,350",15,20,15,35,20,0,2,30,5,23,21.5,16.4,38,239,560,1.33,1,2.33,1.33,2.33,1.54,1.09,2.63,1.44,2.53
55, Mainz 05,de Bundesliga,26,28.6,48,13,143,"1,170",13,11,5,16,8,3,3,33,5,15.5,13.2,10.4,23.5,161,503,0.85,0.38,1.23,0.62,1,1.19,0.8,1.99,1.01,1.81
56, Mallorca,es La Liga,25,28.3,44.9,15,165,"1,350",15,15,11,26,13,2,2,31,3,14.5,12.9,10.2,23.1,179,469,1,0.73,1.73,0.87,1.6,0.97,0.68,1.65,0.86,1.54
57, Manchester City,eng Premier League,23,25.7,57.1,15,165,"1,350",15,32,28,60,32,0,1,27,0,29.1,28.3,25.3,53.6,403,612,2.13,1.87,4,2.13,4,1.94,1.68,3.62,1.89,3.57
58, Manchester Utd,eng Premier League,21,26.5,53.2,14,154,"1,260",14,20,15,35,19,1,3,20,1,22.9,20.5,14.8,35.3,263,580,1.43,1.07,2.5,1.36,2.43,1.63,1.06,2.69,1.46,2.52
